feature,feature_value,shapley_value
NOX,0.581,0.5189459022633497
NOX,0.581,0.4148105281879787
NOX,0.581,0.3187955352656942
NOX,0.581,0.592411030036158
NOX,0.624,-0.066828019405075
NOX,0.624,-0.1206887731965354
NOX,0.624,-0.1101190205499151
NOX,0.624,-0.2179588380185791
NOX,0.624,-0.2574203450944188
NOX,0.624,-0.2767613432081605
NOX,0.624,-0.2583652310574175
NOX,0.624,-0.0996535191407053
NOX,0.624,-0.1725660088756938
NOX,0.624,-0.1415345557399547
NOX,0.624,-0.1400368886870505
NOX,0.624,0.006265308265882
NOX,0.624,-0.0461028736197152
NOX,0.624,-0.0132456734880554
NOX,0.624,0.2545000161213356
NOX,0.871,-2.549057416372659
NOX,0.871,-2.688497999194884
NOX,0.871,-2.6270955719165245
NOX,0.871,-2.5889977260435835
NOX,0.871,-2.6770229441911644
NOX,0.871,-2.668626619845262
NOX,0.871,-2.709093444900203
NOX,0.871,-2.787617775878767
NOX,0.871,-2.9085471539322927
NOX,0.871,-2.8170362453600046
NOX,0.871,-2.796208533957821
NOX,0.871,-2.7855440551611137
NOX,0.871,-2.798645123264347
NOX,0.871,-2.766748078766626
NOX,0.871,-2.708491600599886
NOX,0.605,0.4246855077815061
NOX,0.605,0.5601526488688436
NOX,0.871,-3.0048656237673947
NOX,0.605,0.5865643196495156
NOX,0.605,0.2753103929806746
NOX,0.605,0.4035194063762404
NOX,0.605,0.311129508699374
NOX,0.605,0.3741375517659204
NOX,0.605,0.4789490790747028
NOX,0.605,0.2943493368576858
NOX,0.605,0.3721807011507798
NOX,0.605,0.5084606800367417
NOX,0.605,0.4388240964117708
NOX,0.605,0.4829933770639991
NOX,0.605,0.4593302240241388
NOX,0.51,0.7766505916158247
NOX,0.51,0.616374013675777
NOX,0.51,0.5194961455292734
NOX,0.51,0.0301679433724953
NOX,0.51,0.1306278049577944
NOX,0.51,0.3503434323693423
NOX,0.51,0.4227458191637902
NOX,0.488,0.2504904174440636
NOX,0.488,0.450158055445612
NOX,0.488,0.4368552660447521
NOX,0.488,0.5539847837960838
NOX,0.488,0.5967890860332501
NOX,0.488,0.6629774457059637
NOX,0.488,0.3725744501356407
NOX,0.488,0.0598832888784301
NOX,0.437,1.0201776502298243
NOX,0.437,0.7397975601510683
NOX,0.437,0.7769663098461526
NOX,0.437,0.2075397629601083
NOX,0.437,0.2901023821759549
NOX,0.437,0.203576502897952
NOX,0.401,0.3215007537320559
NOX,0.401,0.4150529081664635
NOX,0.422,0.2809915825078418
NOX,0.404,0.4344738883830589
NOX,0.404,0.536468043204119
NOX,0.404,0.4972606748731699
NOX,0.403,-0.0569446989199044
NOX,0.403,-0.0734306215256978
NOX,0.415,0.5426145905335203
NOX,0.415,0.2067034917643065
NOX,0.4161,0.4852414865607448
NOX,0.4161,0.4541524028153965
NOX,0.489,0.1443405069841766
NOX,0.489,0.2755096080841185
NOX,0.489,0.5538458440290944
NOX,0.489,0.5305222748942569
NOX,0.489,1.0817593758261297
NOX,0.489,0.9188151650872454
NOX,0.489,1.0392973951301228
NOX,0.489,0.6480929862859228
NOX,0.489,0.1877074479420857
NOX,0.489,0.35838010291432
NOX,0.489,0.2830186608625297
NOX,0.55,0.2695865126096373
NOX,0.55,0.2436243923105789
NOX,0.55,0.6754889143213181
NOX,0.55,0.4562167250638355
NOX,0.507,0.8089449924701531
NOX,0.507,0.9511601586581626
NOX,0.507,0.6297828556270478
NOX,0.507,0.5378685145398512
NOX,0.504,0.5028304171753083
NOX,0.504,0.5167165939449143
NOX,0.504,0.502431566405326
NOX,0.504,0.5481486243838933
NOX,0.504,-0.0848334080219069
NOX,0.504,0.0300107340385269
NOX,0.504,0.4706245858995845
NOX,0.504,0.3856706985121634
NOX,0.507,0.1790356814655382
NOX,0.507,0.222114261694769
NOX,0.507,0.4579393388646018
NOX,0.507,0.3655961302992916
NOX,0.507,0.429602340803927
NOX,0.507,0.1799011976501243
NOX,0.428,0.2874820324342347
NOX,0.428,0.4858567148722466
NOX,0.428,0.5657591136534796
NOX,0.428,0.7214983288870693
NOX,0.428,0.4383722072798673
NOX,0.428,-0.0026572077903692
NOX,0.431,0.3511349098371397
NOX,0.431,0.3416004229825461
NOX,0.431,-0.1026772872185889
NOX,0.431,0.2815188041895125
NOX,0.431,0.0606452183734934
NOX,0.431,-0.2660989728884367
NOX,0.431,-0.1948647551499344
NOX,0.431,-0.2354203983937785
NOX,0.431,-0.6499711417411973
NOX,0.431,-0.7351016645905324
NOX,0.392,-0.0379332708548217
NOX,0.392,-0.1073762277189043
NOX,0.394,0.4823572340016306
NOX,0.647,-0.9675410172788056
NOX,0.647,-0.7524747753860763
NOX,0.647,-0.7583063284585446
NOX,0.647,-0.9376959461097102
NOX,0.647,-0.9211290476625866
NOX,0.647,-1.0121062990248526
NOX,0.647,-0.8158466515344887
NOX,0.647,-0.8230234413484749
NOX,0.647,-0.943842104436503
NOX,0.647,-0.8517378812149284
NOX,0.575,-0.2713017140862052
NOX,0.575,-0.4829491305990179
NOX,0.464,0.6926836282000333
NOX,0.464,0.2980220224477133
NOX,0.464,-0.0120604595794924
NOX,0.464,0.4570915162128828
NOX,0.464,0.3149482610696762
NOX,0.447,0.5566890629269153
NOX,0.447,0.4730448039254534
NOX,0.447,0.5186728995675618
NOX,0.447,0.3310771023379639
NOX,0.447,0.4774232366468149
NOX,0.4429,0.632098787377067
NOX,0.4429,0.6904038783935805
NOX,0.4429,0.3956887392440702
NOX,0.4429,0.5670946885651326
NOX,0.401,0.4921984235363043
NOX,0.4,0.1574111384272209
NOX,0.389,0.5204413982812446
NOX,0.385,-0.141247350279681
NOX,0.405,0.4059802709848961
NOX,0.405,0.5237523775776454
NOX,0.405,0.3469535482478732
NOX,0.411,0.3411790771318273
NOX,0.411,0.3212750136183758
NOX,0.411,0.3321327952971558
NOX,0.437,0.7462882489020046
NOX,0.437,0.9737723614415152
NOX,0.437,0.6862447899903774
NOX,0.437,0.8765804917709363
NOX,0.437,0.981106678641928
NOX,0.4,0.3032880971827147
NOX,0.4,0.1641265107313501
NOX,0.4,0.4931629744682379
NOX,0.433,0.7091021505812217
NOX,0.433,0.5295415240615773
NOX,0.433,0.4496880659733525
NOX,0.472,0.0178862927016705
NOX,0.472,0.37716154728448
NOX,0.472,0.4754204597222155
NOX,0.472,0.4926386454166592
NOX,0.544,-0.0156896611398423
NOX,0.544,0.0829146386602227
NOX,0.544,0.0175008007893059
NOX,0.544,-0.0583552247034966
NOX,0.544,0.2740946188676781
NOX,0.544,0.0586785228854067
NOX,0.544,0.0073396682828008
NOX,0.544,-0.0730699584471476
NOX,0.544,0.0126685678314262
NOX,0.544,-0.1090182230416771
NOX,0.544,-0.1230206029742135
NOX,0.544,-0.263592295588556
NOX,0.493,-0.0296534687342122
NOX,0.493,-0.0121894751698476
NOX,0.493,-0.0600285182028888
NOX,0.493,0.2108896564686882
NOX,0.493,-0.1841498883900403
NOX,0.493,-0.5708237180396595
NOX,0.493,-0.4341103751357614
NOX,0.493,-0.2314374341535643
NOX,0.46,0.3295393132530461
NOX,0.46,0.2039069934772344
NOX,0.46,0.2102085268740977
NOX,0.4379,0.1435877163537622
NOX,0.4379,0.0544877341027388
NOX,0.515,-1.0961566189894671
NOX,0.515,-1.0823105040071603
NOX,0.515,-0.9790009363963114
NOX,0.515,-0.6740813533639537
NOX,0.515,-0.6449415839491627
NOX,0.515,-0.6771117284669286
NOX,0.515,-0.5923803847026177
NOX,0.515,-0.4844137249102337
NOX,0.442,-0.069577744899126
NOX,0.518,-0.5004852990552048
NOX,0.484,-0.1641961749672073
NOX,0.484,-0.6062930801200518
NOX,0.442,-0.1323116887019418
NOX,0.442,-0.0591540487812712
NOX,0.429,-0.4495948336938867
NOX,0.435,-0.5539653200652964
NOX,0.429,-0.7109101765764926
NOX,0.429,-0.5986595314788006
NOX,0.411,-0.6385510076195811
NOX,0.411,-0.7285556400128013
NOX,0.41,-1.1847412766093317
NOX,0.413,-1.110401644282755
NOX,0.413,-1.1687142114898186
NOX,0.77,-1.3437071813854606
NOX,0.77,-1.5567311373052135
NOX,0.77,-1.669902406382672
NOX,0.77,-1.7353763309943562
NOX,0.77,-1.7356884241938388
NOX,0.77,-1.574189342746711
NOX,0.77,-1.478603056190961
NOX,0.77,-1.354155341072669
NOX,0.718,-1.0147845118133236
NOX,0.718,-0.6260406799208688
NOX,0.718,-0.6426702384627497
NOX,0.631,0.8434915736651798
NOX,0.631,0.549930078093049
NOX,0.631,0.5122562902453246
NOX,0.631,0.5145615988791554
NOX,0.631,0.5698364747774147
NOX,0.668,0.1387139929026581
NOX,0.668,0.3867322597437715
NOX,0.668,0.4908273314044301
NOX,0.671,-0.05885823838963
NOX,0.671,0.0473194077122819
NOX,0.671,0.0328134085161411
NOX,0.671,0.0773774616841079
NOX,0.671,0.0962046962573817
NOX,0.671,0.0322609806009352
NOX,0.671,0.0230857590694556
NOX,0.7,-0.2841978281365804
NOX,0.7,-0.2649635316958197
NOX,0.7,-0.0927048559634386
NOX,0.7,-0.1676226385693099
NOX,0.7,-0.1284644351738722
NOX,0.7,-0.2226236701426857
NOX,0.7,-0.15233225087141
NOX,0.7,-0.3446491124607863
NOX,0.7,-0.4649154985039992
NOX,0.7,-0.6456302784308562
NOX,0.7,-0.2956224108614541
NOX,0.693,-0.4284301163569859
NOX,0.693,-0.3686847248705736
NOX,0.693,-0.359246987601494
NOX,0.693,-0.3534555952110916
NOX,0.693,-0.2618105764726791
NOX,0.693,-0.0549968264787724
NOX,0.693,-0.2867904436109628
NOX,0.693,-0.171741350118303
NOX,0.693,-0.2695898927418767
NOX,0.693,-0.2834876583060874
NOX,0.693,-0.2518484110221386
NOX,0.693,-0.1948462177110058
NOX,0.693,-0.0738703900176463
NOX,0.659,0.4857710256331593
NOX,0.659,0.2629991454870277
NOX,0.597,1.1639512043678308
NOX,0.597,1.1246099615357703
NOX,0.597,1.2907596082721475
NOX,0.597,1.2256498506349167
NOX,0.597,1.496031171278891
NOX,0.597,1.2212239866148586
NOX,0.693,0.2324967790426487
NOX,0.679,0.1632968344640417
NOX,0.679,0.0266050616480311
NOX,0.679,0.1232195960935787
NOX,0.679,0.2184867874092439
NOX,0.718,-0.6528046990550477
NOX,0.718,-0.6787145525202717
NOX,0.718,-0.6941013517953138
NOX,0.614,0.6404118500972023
NOX,0.614,0.8257321683742276
NOX,0.584,1.075491538141711
NOX,0.679,0.1107710750769887
NOX,0.584,0.9580986121697168
NOX,0.679,-0.1059167976474352
NOX,0.679,-0.1572525421507081
NOX,0.679,0.0187932222902896
NOX,0.584,1.1083241497469472
NOX,0.584,1.1575627505515078
NOX,0.584,0.908820786811014
NOX,0.713,-0.6860202097938549
NOX,0.713,-0.5849997921036438
NOX,0.74,-0.8894273625084507
NOX,0.74,-0.8522276225976478
NOX,0.74,-0.6630557136550725
NOX,0.74,-0.6974453317991113
NOX,0.74,-0.9355042452137609
NOX,0.74,-0.9576213001925512
NOX,0.74,-1.0446935279828296
NOX,0.74,-1.0327968163611163
NOX,0.74,-1.0125845196899643
NOX,0.74,-0.8370696683531117
NOX,0.74,-0.7966235123969083
NOX,0.74,-1.0277491733930664
NOX,0.74,-1.099537504792616
NOX,0.713,-0.7237502168668766
NOX,0.713,-0.6603949634961248
NOX,0.713,-0.5957166205906665
NOX,0.713,-0.7672708991841976
NOX,0.713,-0.82220792650656
NOX,0.713,-0.8507676994650417
NOX,0.713,-0.6098572019513624
NOX,0.713,-0.6855651156678435
NOX,0.713,-0.635670167998147
NOX,0.713,-0.753039191834845
NOX,0.713,-0.9240955377428526
NOX,0.713,-0.979645823049227
NOX,0.713,-0.8480064332493122
NOX,0.713,-0.9333755169009134
NOX,0.713,-1.0189960671510856
NOX,0.713,-1.0237310507604735
NOX,0.655,-0.4486467546901213
NOX,0.655,-0.5466197844022532
NOX,0.655,0.0157780296961818
NOX,0.584,0.9645978619163847
NOX,0.58,0.7026410432452715
NOX,0.58,0.5642987222372722
NOX,0.58,0.7147899431465773
NOX,0.532,1.3583535846051855
NOX,0.58,0.6346611786927958
NOX,0.614,0.1551385291483943
NOX,0.584,1.0021416470781253
NOX,0.584,1.1023615959882298
NOX,0.614,0.5155538351257407
NOX,0.614,0.7804291919768369
NOX,0.614,0.6070046537675251
NOX,0.614,0.540266510213497
NOX,0.532,1.0433836410866766
NOX,0.532,1.089816433095145
NOX,0.532,1.0589583886486005
NOX,0.532,0.7080109890550128
NOX,0.583,0.163811348401007
NOX,0.583,0.1199443327929644
NOX,0.583,0.5157251208692109
NOX,0.583,0.366465794725914
NOX,0.609,0.7482406900295903
NOX,0.609,0.8998364866766302
NOX,0.609,0.9728497792025758
NOX,0.609,0.7543247001094765
NOX,0.609,0.5204997740714264
NOX,0.585,-0.3762339387187231
NOX,0.585,-0.4735778525405619
NOX,0.585,-0.6307868411296021
NOX,0.585,-0.2069906290975347
NOX,0.585,-0.3421329170062036
NOX,0.585,-0.3006772159990342
NOX,0.585,-0.1764261598951678
NOX,0.585,-0.1872329782770553
NOX,0.573,-0.5061558633105383
NOX,0.573,-0.3719487595961918
NOX,0.573,-0.3153198223368978
NOX,0.573,-0.3586708989367911
NOX,0.573,-0.3928297980346361
INDUS,2.31,1.0141944777858272
INDUS,7.07,0.1075597047810458
INDUS,7.07,-0.0384911114603802
INDUS,2.18,0.5623168331835572
INDUS,2.18,0.594716395746044
INDUS,2.18,0.6600248736297832
INDUS,7.87,0.0104356406593735
INDUS,7.87,0.0870847413907326
INDUS,7.87,0.2015869001999515
INDUS,7.87,-0.0318770490147878
INDUS,7.87,0.0237625106548411
INDUS,7.87,-0.0231790892247896
INDUS,7.87,-0.0273691462700603
INDUS,8.14,0.225338221366568
INDUS,8.14,0.3403787802156378
INDUS,8.14,0.2472695838257237
INDUS,8.14,0.1438876891238154
INDUS,8.14,0.3965230467589989
INDUS,8.14,0.3680651822417167
INDUS,8.14,0.4136624228412903
INDUS,8.14,0.5906002482671895
INDUS,8.14,0.4473681437696126
INDUS,8.14,0.4814920823314512
INDUS,8.14,0.5240685740103037
INDUS,8.14,0.4301126952381945
INDUS,8.14,0.4527906404093363
INDUS,8.14,0.3828346484515325
INDUS,8.14,0.435428067892809
INDUS,8.14,0.3598383579537719
INDUS,8.14,0.3510028660935834
INDUS,8.14,0.5256187040443357
INDUS,8.14,0.4516707574483326
INDUS,8.14,0.5857076029105897
INDUS,8.14,0.5598602420128672
INDUS,8.14,0.5949349805941021
INDUS,5.96,0.6617263315847346
INDUS,5.96,0.6637659876738758
INDUS,5.96,0.4985757059613916
INDUS,5.96,0.4776396319147387
INDUS,2.95,0.2581691345582792
INDUS,2.95,0.1917904853569541
INDUS,6.91,-0.3015567083388287
INDUS,6.91,-0.2393762843123335
INDUS,6.91,-0.2347789720003665
INDUS,6.91,-0.1019893078191502
INDUS,6.91,-0.0072150902091194
INDUS,6.91,0.0123271303918287
INDUS,6.91,0.1143778059202068
INDUS,6.91,0.2510145909138688
INDUS,6.91,-0.0038835980956029
INDUS,5.64,-0.0700596783246849
INDUS,5.64,-0.0548700027152913
INDUS,5.64,-0.2462464470573011
INDUS,5.64,-0.1859995432839439
INDUS,4.0,0.3752740790839587
INDUS,1.22,-0.0687158957785026
INDUS,0.74,0.1822266853083467
INDUS,1.32,0.0118825600385155
INDUS,5.13,-0.0807391123708153
INDUS,5.13,0.1268175826710802
INDUS,5.13,0.1890439531353547
INDUS,5.13,0.3296459866571683
INDUS,5.13,0.0960886464504821
INDUS,5.13,-0.0851505661651128
INDUS,1.38,0.2087214466798282
INDUS,3.37,0.0448127941559084
INDUS,3.37,0.1628630074863585
INDUS,6.07,-0.0378037022915013
INDUS,6.07,0.0668731204876473
INDUS,6.07,0.0030597546735603
INDUS,10.81,-0.7623523734171073
INDUS,10.81,-0.6702414166018137
INDUS,10.81,-0.7447276696843476
INDUS,10.81,-0.7430874412522557
INDUS,12.83,-0.7890596045155995
INDUS,12.83,-0.6814910556852344
INDUS,12.83,-0.501232046312672
INDUS,12.83,-0.60406109959528
INDUS,12.83,-0.6965035427200197
INDUS,12.83,-0.6820231896047431
INDUS,4.86,0.1737666668155127
INDUS,4.86,0.3122360813412504
INDUS,4.86,0.2102578646537503
INDUS,4.86,0.2735114145914215
INDUS,4.49,0.4661672982656844
INDUS,4.49,0.500426805585071
INDUS,4.49,0.5554425914389736
INDUS,4.49,0.6458071581352064
INDUS,3.41,0.9570580740282248
INDUS,3.41,0.8814938444458091
INDUS,3.41,1.0058796158571468
INDUS,3.41,1.0264595217855763
INDUS,15.04,-1.1638305796418082
INDUS,15.04,-1.2398680359390697
INDUS,15.04,-1.0514921095488217
INDUS,2.89,0.9345468945988918
INDUS,2.89,1.026664902129205
INDUS,2.89,0.857832154530875
INDUS,2.89,0.7487832111504262
INDUS,2.89,0.8760348610561204
INDUS,8.56,0.5111337750415533
INDUS,8.56,0.456523140785567
INDUS,8.56,0.6827690491636115
INDUS,8.56,0.6145983130815399
INDUS,8.56,0.653285518406053
INDUS,8.56,0.7692225446205773
INDUS,8.56,0.7562485044946994
INDUS,8.56,0.6962143903474693
INDUS,8.56,0.6508700082488108
INDUS,8.56,0.6595985754256088
INDUS,8.56,0.494912798776782
INDUS,10.01,0.3380528883680073
INDUS,10.01,0.5189836762675409
INDUS,10.01,0.4933103681065341
INDUS,10.01,0.4410060873690986
INDUS,10.01,0.5025007916978687
INDUS,10.01,0.3549608826630151
INDUS,10.01,0.3824733082023334
INDUS,10.01,0.4562725244901604
INDUS,10.01,0.3716383094706002
INDUS,25.65,-2.4360658692597417
INDUS,25.65,-2.3886485229305947
INDUS,25.65,-2.316417423867298
INDUS,25.65,-2.219687178656906
INDUS,25.65,-2.2934276894669754
INDUS,25.65,-2.344552368432406
INDUS,25.65,-2.16391369413982
INDUS,21.89,-1.146906981405541
INDUS,21.89,-1.2085798502601348
INDUS,21.89,-1.1662610361560686
INDUS,21.89,-1.2714526979521534
INDUS,21.89,-1.28940676317009
INDUS,21.89,-1.3043213752797451
INDUS,21.89,-1.265344443446113
INDUS,21.89,-1.1732858818444432
INDUS,21.89,-1.2320709307953697
INDUS,21.89,-1.1940666133934243
INDUS,21.89,-1.2213517105241352
INDUS,21.89,-1.1054045993037256
INDUS,21.89,-1.1495717317887053
INDUS,21.89,-1.112773579405437
INDUS,21.89,-0.9152436711872668
INDUS,19.58,-0.3021015284880706
INDUS,19.58,-0.4085344345921792
INDUS,19.58,-0.3460510338513248
INDUS,19.58,-0.3685546334289267
INDUS,19.58,-0.4256314675290689
INDUS,19.58,-0.3665888110394141
INDUS,19.58,-0.3970233042646957
INDUS,19.58,-0.4700123824708637
INDUS,19.58,-0.5733990794170538
INDUS,19.58,-0.5052117471164332
INDUS,19.58,-0.4399044903191443
INDUS,19.58,-0.4894996728999645
INDUS,19.58,-0.4834896769656167
INDUS,19.58,-0.4447209675854092
INDUS,19.58,-0.4243973056902628
INDUS,19.58,-1.166989901946114
INDUS,19.58,-1.0632920915047903
INDUS,19.58,-0.6583354894156224
INDUS,19.58,-1.0198903967448307
INDUS,19.58,-1.263893618277171
INDUS,19.58,-1.189234007094646
INDUS,19.58,-1.2497056265600952
INDUS,19.58,-1.1411542706411562
INDUS,19.58,-1.094488462645052
INDUS,19.58,-1.272118272999879
INDUS,19.58,-1.120690435988026
INDUS,19.58,-1.0861626846844372
INDUS,19.58,-1.127010793374476
INDUS,19.58,-1.078411256661217
INDUS,19.58,-1.101736677762479
INDUS,4.05,1.1922314866636754
INDUS,4.05,1.0710323754723758
INDUS,4.05,1.0596584851169368
INDUS,4.05,0.809397521882034
INDUS,4.05,0.8674496785894642
INDUS,4.05,0.9329764884179604
INDUS,4.05,0.9582917807585116
INDUS,2.46,0.9984449778580272
INDUS,2.46,1.051821552627266
INDUS,2.46,1.1333602922507715
INDUS,2.46,1.1094965566777155
INDUS,2.46,1.1476283773332143
INDUS,2.46,1.240498700581654
INDUS,2.46,1.0907573068594825
INDUS,2.46,0.8694868941584359
INDUS,3.44,0.7052049973550936
INDUS,3.44,0.5658741842510743
INDUS,3.44,0.5530606957798284
INDUS,3.44,0.2585706118374673
INDUS,3.44,0.2957772339886532
INDUS,3.44,0.2369073437879581
INDUS,2.93,0.0509894785934053
INDUS,2.93,0.0941626484199724
INDUS,0.46,0.464298405849526
INDUS,1.52,0.1443215005441636
INDUS,1.52,0.2127848005068977
INDUS,1.52,0.1785258879675776
INDUS,1.47,0.2385508331965674
INDUS,1.47,0.2263811220444836
INDUS,2.03,0.4070242700832094
INDUS,2.03,0.2005588403529259
INDUS,2.68,0.088534294162468
INDUS,2.68,0.0656023128258675
INDUS,10.59,-0.3602696876905065
INDUS,10.59,-0.3503631915079696
INDUS,10.59,-0.1947866750737435
INDUS,10.59,-0.1767613427905971
INDUS,10.59,0.1087819020120471
INDUS,10.59,-0.0011960785108489
INDUS,10.59,0.1042037129199511
INDUS,10.59,-0.0886145853703219
INDUS,10.59,-0.370055554202183
INDUS,10.59,-0.1646636023245118
INDUS,10.59,-0.3265458957791434
INDUS,13.89,-0.53302131186085
INDUS,13.89,-0.6516109832998027
INDUS,13.89,-0.3574105388669235
INDUS,13.89,-0.5090908479466588
INDUS,6.2,0.7917362169592765
INDUS,6.2,0.9149684964636972
INDUS,6.2,0.7089871937464991
INDUS,6.2,0.6312509545783074
INDUS,6.2,0.5317138464013836
INDUS,6.2,0.5185785722026857
INDUS,6.2,0.5217314933090836
INDUS,6.2,0.592097688692968
INDUS,6.2,0.3151603504073861
INDUS,6.2,0.4076404720395361
INDUS,6.2,0.6129589288870351
INDUS,6.2,0.4933084412062314
INDUS,6.2,0.3747557102149199
INDUS,6.2,0.4105110025219308
INDUS,6.2,0.6296962780735246
INDUS,6.2,0.5871510453371468
INDUS,6.2,0.6012013069687451
INDUS,6.2,0.4117005946934584
INDUS,4.93,0.0056165764886382
INDUS,4.93,0.0772378251346204
INDUS,4.93,0.1011473575510976
INDUS,4.93,0.1984718528602713
INDUS,4.93,0.0450416852313554
INDUS,4.93,-0.143994531984104
INDUS,5.86,0.0351381667401959
INDUS,5.86,0.0516871089353307
INDUS,5.86,-0.1767621114466151
INDUS,5.86,-0.0334089002598189
INDUS,5.86,-0.1158986077746717
INDUS,5.86,-0.2639397950418251
INDUS,5.86,-0.2087610335514159
INDUS,5.86,-0.2281317346379147
INDUS,5.86,-0.4813050925042542
INDUS,5.86,-0.5725258496882916
INDUS,3.64,-0.3276911634761869
INDUS,3.64,-0.3332794359667801
INDUS,3.75,-0.195997949077092
INDUS,3.97,1.0565678354655113
INDUS,3.97,1.2042767943649886
INDUS,3.97,1.213898919937184
INDUS,3.97,1.1360957380423382
INDUS,3.97,1.1184209643337266
INDUS,3.97,1.0330367077798797
INDUS,3.97,1.183777020453102
INDUS,3.97,1.1825602426318076
INDUS,3.97,1.2166841921212088
INDUS,3.97,1.196342771561256
INDUS,3.97,0.839134103170608
INDUS,3.97,0.7581259950348167
INDUS,6.96,0.3012606956522069
INDUS,6.96,0.0842677043158314
INDUS,6.96,-0.0737691748775125
INDUS,6.96,0.1174163037885794
INDUS,6.96,0.0324909670803146
INDUS,6.41,0.0860273156153374
INDUS,6.41,-0.0063514567703356
INDUS,6.41,0.0247416254865058
INDUS,6.41,-0.0368476152508626
INDUS,6.41,0.034159600114208
INDUS,3.33,0.4494281619264146
INDUS,3.33,0.393953870623784
INDUS,3.33,0.2977499711292761
INDUS,3.33,0.3743065460224488
INDUS,1.21,0.1953504479475447
INDUS,2.97,-0.1354654716540792
